keyword_id,keyword,count
229740,body transformation,1
33721,body-swap,3
8696,bodybuilder,1
3088,bodyguard,11
164754,bohemian,1
157418,boiler room,1
3228,bolivia,1
10540,bollywood,10
258,bomb,23
4514,bomb alarm,1
206544,bomb attack,2
3048,bomb constructor,1
182216,bomb explosion,1
157251,bomb planting,2
167342,bomb squad,2
4110,bombay india,1
2532,bomber,4
160377,bomber pilot,1
33702,bombing,4
171197,bon bon,1
910,bondage,3
4479,bone,2
185263,bone marrow transplant,1
157775,bonfire,2
9783,bong,2
163841,booby trap,4
10059,boogeyman,1
3096,book,12
5737,book burning,1
186948,book comes to life,1
33775,book editor,2
157458,book of the dead,2
155851,book store,2
817,bookshop,2
226790,bookstore,1
1789,boomerang,1
5419,bootlegger,2
2286,border,2
2296,border patrol,1
6846,borderline personality disorder,1
3925,boredom,4
522,borg,1
209005,boring,1
192143,borrow,1
1662,bosnia and herzegovina,1
7973,bosnian war of 1992-1995,2
229676,bosque,1
5306,boss,3
1680,boston,12
10847,boston garden,1
186906,boston red sox,1
4003,botanist,3
5344,bottle,1
159880,boulder,1
182148,bouncy castle,1
15460,bound and gagged,1
157321,boundary violations,1
800,bounty,5
801,bounty hunter,14
4029,bourgeoisie,3
18101,bow and arrow,3
420,bowling,4
200646,bowling ball,2
167556,bowling team,2
163190,box,2
226907,box cutter,1
2792,boxer,14
174110,boxer shorts,1
209476,boxing,4
188374,boxing day,1
4487,boxing match,5
5402,boxing school,1
156330,boxing trainer,2
5202,boy,17
189391,boy dog relationship,1
176266,boy eaten,1
7858,boy gang,1
33353,boy genius,3
165503,boy next door,1
169990,boy scouts,1
169995,boy scouts leader,1
187518,boy toy,1
5955,boy's choir,1
156478,boyfriend,6
164698,boyfriend girlfriend,1
188987,boyfriend girlfriend relationship,3
216919,boys,3
179359,boys' boarding school,1
185413,boys' school,2
163306,bracelet,1
2588,brain,3
234944,brain capacity,1
174818,brain damage,1
187651,brain scan,1
879,brain tumor,5
12400,brainwashing,5
1673,brass band,1
3540,bratislava,2
3930,bravery,11
174244,brawl,4
1161,brazil,5
983,brazilian,5
14602,break-up,6
1974,breakdance,4
191815,breakdown,1
168539,breaking finger,1
164917,breaking mirror,1
11687,breaking the fourth wall,6
10688,breast,3
8496,breast cancer,1
163270,breeding,1
171439,bribe,1
3582,bride,11
180052,bride and groom,1
206571,bride in black,1
3583,bridegroom,3
3584,bridesmaid,6
3450,bridge,15
11435,briefcase,2
218000,briefing,1
13090,briefs,1
232987,brigands,1
11343,brighton,2
207969,brisbane queensland,1
14905,britain,5
6731,british,10
4100,british army,5
4107,british empire,3
191479,british farce,1
159862,british history,1
238198,british lancers,1
220649,british monarchy,1
33845,british overseas territory,1
33847,british politics,1
33848,british prime minister,1
155479,british pub,1
184418,british sailor,1
156095,british secret service,17
157788,british soldier,2
14618,british spy,1
4025,brittany,1
156028,broadway,4
165241,broadway musical,1
15142,broken ankle,1
17992,broken arm,2
158489,broken arrow,1
33616,broken bottle,1
978,broken engagement,3
164046,broken glass,1
192394,broken heart,1
9702,broken lizard,1
176706,broken mirror,1
10525,broken neck,3
5573,broken nose,1
180366,broken trachea,1
175227,broken wrist,1
5628,broker,4
4608,brokerage,1
12648,bromance,2
170603,bronko nagurski,1
1765,brontosaurus,1
161307,bronx,3
235616,bronze age,1
4260,brood,2
158967,brooklyn bridge,1
186654,brooklyn dodgers,1
41523,brooklyn new york city,5
3872,broom,6
1411,brothel,10
5301,brother,13
12653,brother against brother,2
380,brother brother relationship,49
181531,brother sister incest,2
1155,brother sister relationship,34
2102,brother-in-law,3
164677,brother-in-law brother-in-law relationship,2
12980,brother-in-law sister-in-law relationship,1
232235,brothers,2
238130,brothers love same woman,1
202816,bruce banner,1
638,bruce frederick joseph springsteen,1
195243,bruce wayne,1
167221,bruges belgium,1
155344,brumbies,1
155343,brumby,1
201927,brutal,1
187729,brutal cop,1
12639,brutal death,1
14707,brutality,12
215787,bucket list,2
4832,buckingham palace,1
810,budapest,4
5722,buddha,1
188,buddhism,4
1529,buddhist monk,4
206691,buddies,1
15214,buddy,2
167541,buddy comedy,10
167316,buddy cop,7
217452,buddy film,1
185983,budget cutting,1
216994,budweiser,1
2900,buenos aires,1
2912,buffalo,1
190296,buffalo bill,1
208174,buffalo skin,1
34128,building,1
190078,bull riding,1
167707,bulldogg,1
9517,bulle,1
47021,bullet,2
208708,bullet ballet,1
175041,bullet dodging,1
188112,bullet proof vest,1
175042,bullet time,1
14677,bullet wound,3
209790,bullfighting,1
15150,bullfrog,1
10624,bully,9
6733,bullying,9
41267,bum,2
5413,bungee-jump,2
170737,bunk bed,1
2321,bunker,3
3208,bunny,3
160873,buoy,1
211,bureaucracy,4
208997,bureaucrat,1
1437,burglar,7
11728,burglary,2
208518,burial,1
192865,burial ground,1
7172,buried alive,3
189108,buried treasure,1
163070,burlesque,1
191205,burlesque dancer,1
5499,burma,1
1959,burn,1
170390,burn injury,1
158567,burn victim,2
9786,burned alive,5
172695,burning,1
206648,burning car,1
14888,burning man,1
2871,burning of witches,2
167506,burnout,1
175247,burnt face,1
992,bus,5
227824,bus accident,1
8038,bus hijacking,1
2776,bus ride,3
168350,bus station,1
178650,bus trip,1
14745,bush whacker,1
12094,business,8
155955,business card,1
8632,business consultant,1
7337,business ethics,2
4480,business man,5
188843,business partner,1
232700,business rivalry,1
49960,business start-up,3
170749,business trip,1
4021,business woman,2
167115,bust,1
164468,bustier,1
155273,busty,1
130989,butch cassidy,1
4452,butcher,2
1307,butler,3
156096,butterfly,2
33466,button,2
9248,bühnenauftritt,1
236534,bűnös utakon,1
11290,cab driver,1
3623,cabin,6
207750,cabin boy,1
13209,cabin in the woods,3
226410,cabinet officer,1
208575,cable guy,1
5865,cabriolet,1
14571,cactus,1
156544,cadaver,1
7322,caddy,1
1617,cadet,1
167818,cadillac convertible,1
14766,cafe,1
7289,cafeteria,1
4392,cage,5
11772,cage fighting,1
487,cairo,6
155180,cajun,1
6397,calamity,1
33485,calcutta,1
387,california,29
199600,call,1
7934,call center,1
167164,call girl,2
6739,callboy,2
169326,caller id,1
550,callgirl,1
5941,calypso,2
2960,cambodia,3
8103,cambridge,1
2249,camcorder,9
4717,camel,1
3966,camelot,2
164431,cameo appearance by real life subject,1
232999,cameos,1
1925,camera,2
187826,camoflage uniform,1
11663,camp,4
3072,campaign,3
181682,campaign finance,1
181668,campaign manager,1
187308,campaign speech,1
170124,camper,1
158176,campfire,2
169886,campfire story,1
1890,camping,8
2333,campsite,1
8039,campus,3
1329,canada,11
2519,canadian,1
167235,canadian stereotype,1
7453,canary,1
164770,cancan dance,1
10163,cancer,21
9236,cancún,1
173362,candelabra,1
164478,candidate,1
15224,candle,2
166625,candlelight vigil,6
985,candy,3
8224,cannabis,6
8445,cannes,1
14895,cannibal,8
208048,cannibalism,3
230137,cannibals,1
3242,cannon,1
4707,canoe,3
169064,canon,2
206850,canuxploitation,7
8122,canyon,2
226234,cape kennedy,1
176806,cape town south africa,1
9728,caper,3
159333,caper comedy,1
592,capitalism,13
2110,capitalist,1
3054,capitulation,1
155530,capsized ship,1
1316,captain,8
173775,captain america,2
191409,captain nemo,2
15381,captive,4
206219,captivity,1
156702,capture,4
235625,capuchin monkey,1
33885,car,14
13063,car accident,12
7336,car bomb,5
1927,car breakdown,2
15483,car chase,26
9844,car crash,25
1874,car dealer,3
15151,car dealership,1
41019,car explosion,3
6996,car garage,1
1926,car journey,10
172357,car jump,1
3296,car mechanic,2
161636,car movie,2
830,car race,17
157686,car run over,1
40953,car seat,1
9775,car set on fire,4
167663,car siren,1
915,car thief,1
156401,car wash,1
15198,car wreck,1
159355,card dealer,1
1317,card game,4
204357,cardinal,1
14984,cardiologist,1
186382,cardiopulmonery resuscitation,1
15396,cardsharp,1
3658,career,12
231932,career vs family,1
2751,career woman,3
185863,carefree,2
155209,caregiver,2
10241,caretaker,3
158022,cargo ship,4
167861,caribbean,7
2071,caribbean islands,1
168736,carjacker,1
167542,carjacking,2
208965,carnies,1
3473,carnival,4
