company_id,company,count
68353,CKRush Entertainment,1
3145,CN Film,1
5521,CP Medien AG,1
32793,CST Telecommunications,1
44210,Cactus Flower Producciones,1
72741,CalTex Films,1
3435,Calder Road Film,1
11049,Caliber Media Company,1
45518,Calimari Productions,1
60378,Callahan Filmworks,2
19483,Calle Cruzada,1
4293,Cambridge Productions,1
39226,Camellia Productions,1
11728,Camelot Pictures,4
523,Camelot Productions,1
79821,Camera Stylo Films,1
4404,Camp / Thompson Pictures,1
381,Campanile Productions,1
48738,Campbell Grobman Films,2
82667,Camphor Cinema,1
57498,Canada Television and Cable Production Fund License Program (CTCPF),1
12113,Canadian Broadcasting Corporation (CBC),1
14185,Canadian Film Centre (CFC),1
4952,Canadian Film Development Corporation (CFDC),1
8582,Canadian Film or Video Production Tax Credit (CPTC),10
20170,Canadian Television Fund,2
104,Canal Plus,10
524,Canal Plus Group,1
73189,Canal Plus Overseas,1
5358,Canal+,75
53473,Canal+ Droits Audiovisuels,3
9335,Canal+ España,9
6476,Canal+ Polska,1
12927,Canal+ Television AB,1
250,Canal+Polska,1
19690,Caneo Films,1
19355,Canlaws Productions,1
9194,Cannell Studios,1
4110,Cannon Films,5
1444,Cannon Group,2
16337,Cannon Pictures,1
51903,Cantharus Productions,1
50491,Capacity Pictures,1
7220,Capcom,1
35063,Cape Of Good Films,1
594,Capella International,3
826,Capitol Films,5
691,Cappa Productions,3
17055,Capstone Entertainment Group,1
25716,Captivate Entertainment,2
175,Caravan Pictures,8
34380,Cargo Entertainment,1
3290,Carmel Entertainment,1
4098,Carnaby International,2
6196,Carnival Films,1
26084,Caro-McLeod,1
35445,Carol Baum Productions,1
80461,Carolco International N.V.,1
14723,Carolco Pictures,9
504,Carolina Bank,1
8900,Carousel Picture Company,1
19944,"Carousel Picture Company, The",3
11176,Carousel Productions,1
3215,Carsey-Werner Company,1
20395,Carthago Films S.a.r.l.,2
10154,Cartier Productions,1
33423,Cartoon Network,1
7899,Cartoon Network Studios,1
23948,Cartoon Saloon,1
64857,Caruso / Mendelsohn Productions,1
11582,Case 39 Productions,1
8040,Casey Productions,1
877,Casey Silver Productions,5
1370,Castel Film Romania,2
7956,Castelao Producciones,5
97,Castle Rock Entertainment,40
93528,Casual Friday Productions,1
7053,Catch 23 Entertainment,1
11052,Catch Productions,1
8870,CatchPlay,2
86,Catfish Productions,1
46694,Catherine Bailey Ltd.,1
22130,Catmandu Branded Entertainment,1
10102,Cattleya,4
52947,Catwoman Films,1
2699,Caviar Films,1
371,Cecchi Gori Group Tiger Cinematografica,1
65394,Cecchi Gori Pictures,1
3573,Celador Films,4
1390,Celador Productions,1
860,Celluloid Dreams,5
54336,Cent Productions Inc.,1
26029,Centauri Media,1
1787,Central Cinema Company Film,1
11258,Central Films,1
25345,Central Motion Pictures,1
2195,Central-Europa Film,1
310,Centre National de la Cinématographie,3
18367,Centre National de la Cinématographie (CNC),13
17298,Centre National du Cinéma et de L'image Animée (CNC),2
11545,Centre Régional des Ressources Audiovisuelles (CRRAV),1
347,Centropolis Entertainment,10
620,Centropolis Film Productions,2
69462,Centrul National al Cinematografiei (CNC),1
1692,Centurion Investment,1
7367,Chad Troutwine Films,1
7332,Chako Film Company,1
75037,Challenge Film Corporation,1
12234,Chambara Pictures,2
181,Channel Four Films,13
1039,Channel One Russia,1
7766,Chaocorp,1
20339,Chapter 2,1
55265,Chapter One Films,1
30218,Character Matters,1
75937,Charenton Productions,1
19835,Charenton Productions Limited,1
1315,Charles Chaplin Productions,1
1317,Charles K. Feldman Group,2
45004,Charlie Guidance,1
3200,Chartoff Productions,1
88686,Chartoff Winkler Productions,1
12252,Chartoff-Winkler Productions,3
16517,Chase Productions,1
79031,Chatrone,1
10853,Cheap and Dirty Productions Inc.,1
86061,Cheerland Entertainment Organization,1
5830,Cheetah Vision,1
11417,Chengtian Entertainment,1
945,Cheongeoram,1
30302,Cheri Productions,1
7076,Chernin Entertainment,7
2232,Cherry Alley Productions,1
20757,Cherry On Top,1
1700,Cherry Road Films LLC,1
890,Cheyenne Enterprises,9
34780,Chi-Fou-Mi Productions,1
72688,Chicago Overcoat Productions,1
2377,Chicago Pacific Entertainment,2
15312,ChickFlick Productions,1
15700,Chickie The Cop Production,1
5061,Children's Television Workshop,1
19965,Chime Films,1
85048,China Dream Film Culture Industry,1
74458,China Film & TV Capital,1
2269,China Film Co-Production Corporation,7
40890,China Film Co.,3
2270,China Film Group Corporation,1
14714,China Film Group Corporation (CFGC),3
11413,China Movie Channel,2
13649,Chockstone Pictures,4
52896,Choke Film,1
2461,Chris Brinker Productions,1
20033,Chris Lee Productions,3
5302,Christiano Film Group,1
10757,Christmas Tree Films,1
28001,Chromewood Productions,1
8717,Chrysalis Films,1
11335,Chrysler Corporation,1
26242,Chuan Production Film Studio,1
12384,Chubu-nippon Broadcasting Company (CBC),1
11569,Chum Television,2
56344,Chunqiu Time Culture Co.,1
7832,CiBy 2000,3
52596,Ciclic - Région Centre,1
4554,Cimarron Productions,1
22862,Cindy Cowan Entertainment,1
5896,Cine Bazar,1
16496,Cine Canibal,1
40144,Cine Grande Corporation,1
30298,Cine Productions,1
16647,CineSon Entertainment,1
26032,Cineblue Internationale Filmproduktionsgesellschaft,1
685,Cineclick Asia,2
303,Cinecolor-Argentina,1
301,Cinecolor-México,1
19029,Cinecorp,1
68543,Cinefrance,1
45966,Cinelamda Internationale Filmproduktionsgesellschaft,1
39644,Cinelou Films,1
1819,Cinema 77,1
10317,Cinema 77 Films,1
4764,Cinema 84,2
6984,Cinema Four,1
11142,Cinema Group Ventures,1
5227,Cinema Gypsy Productions,1
11549,Cinema Investment,1
55533,Cinema Line Film Corporation,1
25032,Cinema Management Group,1
49252,Cinema One,1
59488,Cinema Seven Productions,1
25673,Cinema Vehicle Services,1
5705,CinemaNX,2
15338,Cinemarque Entertainment BV,1
53668,Cinematograph A/S,1
7445,Cinematograph AB,1
2632,Cinephil,1
5231,Cineplex-Odeon Films,2
88161,Cinerama Releasing Corporation,1
12219,Cinereach,1
995,Cinerenta Medienbeteiligungs KG,6
21784,Cinerenta-Cinebeta,1
1504,Cinergi Pictures Entertainment,12
11078,Cineric,1
10378,Cineritmo,1
23732,Cineroma SRL,1
74413,Cinestyle Media Group,1
10399,Cinetel Films,1
2832,Cineville,1
10611,Ciné+,9
23616,Ciné+,3
2564,Ciné@,2
6301,CinéCinéma,10
19930,Cinéart,1
76447,Cinéfeel Prod,1
77292,Cinéfondation,1
31229,Cinéfrance 1888,1
11944,Cinémage 3,1
7455,Cinémage 4,1
27123,Cinémage 8,1
280,Cinémaginaire Inc.,2
664,City Film,1
136,City Light Films,4
26033,City Productions,1
72682,City of Lodz,1
41042,CityMation,1
1916,Claraflora,1
36991,Clarius Entertainment,1
2297,Class 5 Films,2
37382,Classic Media,1
73951,Classic Media Productions,1
592,Claudie Ossard Productions,1
161,Claussen + Wöbke Filmproduktion GmbH,2
